transaction_id,account_id,merchant_id,amount,is_fraud,risk_score,transaction_timestamp,transaction_date,merchant_category,transaction_type,channel,country
TXN_000000000001,ACC_00000001,MER_00000001,152.30,0,0.1200,2024-01-15 10:30:00,2024-01-15,grocery,purchase,pos,US
TXN_000000000002,ACC_00000002,MER_00000015,3200.00,1,0.8500,2024-01-15 23:45:00,2024-01-15,electronics,purchase,online,US
TXN_000000000003,ACC_00000003,MER_00000042,45.99,0,0.0500,2024-02-01 14:20:00,2024-02-01,restaurant,purchase,pos,MX
TXN_000000000004,ACC_00000001,MER_00000007,890.00,0,0.2300,2024-02-10 09:15:00,2024-02-10,clothing,purchase,online,US
TXN_000000000005,ACC_00000004,MER_00000099,12500.00,1,0.9200,2024-02-14 02:30:00,2024-02-14,travel,transfer,mobile,BR
TXN_000000000006,ACC_00000005,MER_00000003,67.50,0,0.0800,2024-03-01 16:45:00,2024-03-01,gas_station,purchase,pos,CA
TXN_000000000007,ACC_00000002,MER_00000021,1500.00,0,0.3100,2024-03-05 11:00:00,2024-03-05,home_improvement,purchase,pos,US
TXN_000000000008,ACC_00000006,MER_00000055,9800.00,1,0.8800,2024-03-10 01:15:00,2024-03-10,electronics,withdrawal,atm,DE
TXN_000000000009,ACC_00000003,MER_00000012,23.45,0,0.0400,2024-04-01 12:30:00,2024-04-01,grocery,purchase,pos,MX
TXN_000000000010,ACC_00000007,MER_00000088,4500.00,0,0.4500,2024-04-15 18:20:00,2024-04-15,travel,purchase,online,JP
